author,rating,content
Alex Green,1,"Payment failed 3 times while trying to checkout with Apple Pay. It charged my card but order didn't go through!"
Sarah M.,1,"Whenever I try to add my Mastercard, the app freezes and shows an unexpected payment gateway error."
Dmitry K.,2,"Checkout screen gets stuck loading forever after tapping the Pay Now button. Very frustrating when shopping."
Linda B.,1,"Cannot complete transaction! The checkout button is unresponsive and my credit card keeps getting declined."
Carlos R.,1,"The payment process is completely broken after the latest patch. Tried with Visa and PayPal, both failed."
John Doe,1,"Never received the OTP verification SMS code. Waited 15 minutes and requested resend 4 times."
Fatima A.,2,"Verification codes via SMS arrive with a 20-minute delay, by which time they have already expired."
Mark S.,1,"SMS OTP never arrives to international phone numbers. I am completely locked out of my account."
Elena V.,2,"Why are security codes taking forever to arrive via SMS? I cannot log in on my new phone."
David P.,1,"App crashes immediately upon opening on iOS 17. Cannot even reach the splash screen."
Anna W.,1,"Since yesterday's 2.4.0 update, the app crashes right after launching. Please fix ASAP!"
Brian T.,1,"Constant crashes on startup. It closes itself after 2 seconds. Reinstalling did not help."
Michael N.,5,"Amazing app! Love the clean interface and fast performance. Best in class."
Sophie L.,5,"Super smooth experience. Customer support was very helpful when I had a question."
Kevin H.,4,"Good application overall, but would love to have a dark mode option added in future."
